service_id,date,exception_type
27790,20261127,2
27791,20261127,2
27793,20261127,2
27796,20261127,2
27800,20261127,2
27801,20261127,2
27805,20261127,2
27812,20261127,2
27813,20261127,2
27814,20261127,2
27815,20261127,2
27816,20261127,2
27823,20261127,2
27824,20261127,2
27825,20261127,2
27826,20261127,2
27694,20260713,1
27753,20260713,1
27694,20260714,1
27753,20260714,1
27694,20260715,1
27753,20260715,1
27694,20260716,1
27753,20260716,1
27694,20260717,1
27753,20260717,1
27694,20260720,1
27694,20260721,1
27694,20260722,1
27694,20260723,1
27694,20260724,1
27694,20260727,1
27694,20260728,1
27694,20260729,1
27694,20260730,1
27694,20260731,1
27694,20260803,1
27696,20260803,1
27698,20260803,1
27700,20260803,1
27702,20260803,1
27705,20260803,1
27709,20260803,1
27710,20260803,1
27715,20260803,1
27718,20260803,1
27719,20260803,1
27721,20260803,1
27724,20260803,1
27728,20260803,1
27729,20260803,1
27733,20260803,1
27739,20260803,1
27740,20260803,1
27741,20260803,1
27742,20260803,1
27749,20260803,1
27750,20260803,1
27751,20260803,1
27752,20260803,1
27694,20260804,1
27696,20260804,1
27698,20260804,1
27700,20260804,1
27703,20260804,1
27705,20260804,1
27710,20260804,1
27712,20260804,1
27715,20260804,1
27718,20260804,1
27719,20260804,1
27721,20260804,1
27725,20260804,1
27730,20260804,1
27731,20260804,1
27734,20260804,1
27739,20260804,1
27740,20260804,1
27741,20260804,1
27742,20260804,1
27749,20260804,1
27750,20260804,1
27751,20260804,1
27752,20260804,1
27694,20260805,1
27696,20260805,1
27698,20260805,1
27700,20260805,1
27703,20260805,1
27706,20260805,1
27710,20260805,1
27713,20260805,1
27715,20260805,1
27718,20260805,1
27719,20260805,1
27722,20260805,1
27724,20260805,1
27728,20260805,1
27729,20260805,1
27734,20260805,1
27741,20260805,1
27742,20260805,1
27743,20260805,1
27744,20260805,1
27749,20260805,1
27750,20260805,1
27751,20260805,1
27752,20260805,1
27694,20260806,1
27696,20260806,1
27698,20260806,1
27700,20260806,1
27703,20260806,1
27705,20260806,1
27710,20260806,1
27711,20260806,1
27715,20260806,1
27718,20260806,1
