shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
600275,21.38598,-157.81506,170154
600275,21.38623,-157.81512,170155
600275,21.38655,-157.81522,170156
600275,21.3868,-157.81533,170157
600275,21.38708,-157.81548,170158
600275,21.38751,-157.81575,170159
600275,21.38792,-157.81601,170160
600275,21.3882,-157.81618,170161
600275,21.38845,-157.81633,170162
600275,21.38886,-157.81653,170163
600275,21.38912,-157.81664,170164
600275,21.38938,-157.81672,170165
600275,21.38966,-157.81679,170166
600275,21.38996,-157.81681,170167
600275,21.39035,-157.81677,170168
600275,21.39072,-157.81668,170169
600275,21.39099,-157.81657,170170
600275,21.39121,-157.81647,170171
600275,21.39147,-157.81632,170172
600275,21.39168,-157.81615,170173
600275,21.39188,-157.81598,170174
600275,21.39209,-157.81574,170175
600275,21.39223,-157.81555,170176
600275,21.39241,-157.81527,170177
600275,21.39257,-157.81496,170178
600275,21.39269,-157.81468,170179
600275,21.39292,-157.81407,170180
600275,21.39329,-157.81315,170181
600275,21.3934,-157.81288,170182
600275,21.39349,-157.81269,170183
600275,21.39364,-157.81238,170184
600275,21.3938,-157.8121,170185
600275,21.39393,-157.8119,170186
600275,21.39414,-157.81166,170187
600275,21.3944,-157.81138,170188
600275,21.39464,-157.81118,170189
600275,21.39486,-157.81101,170190
600275,21.39507,-157.81087,170191
600275,21.39533,-157.8107,170192
600275,21.39559,-157.81058,170193
600275,21.39589,-157.81047,170194
600275,21.39624,-157.81038,170195
600275,21.39647,-157.81033,170196
600275,21.39705,-157.81023,170197
600275,21.39758,-157.81016,170198
600275,21.39786,-157.81013,170199
600275,21.3981,-157.8101,170200
600275,21.39856,-157.81004,170201
600275,21.39894,-157.80998,170202
600275,21.39922,-157.80994,170203
600275,21.39943,-157.8099,170204
600275,21.39976,-157.80982,170205
600275,21.39998,-157.80975,170206
600275,21.40019,-157.80967,170207
600275,21.40038,-157.80959,170208
600275,21.40071,-157.80942,170209
600275,21.4008,-157.80937,170210
600275,21.40094,-157.80929,170211
600275,21.40116,-157.80915,170212
600275,21.40138,-157.809,170213
600275,21.40156,-157.80885,170214
600275,21.4017,-157.80873,170215
600275,21.40194,-157.80851,170216
600275,21.40229,-157.80811,170217
600275,21.40246,-157.8079,170218
600275,21.40251,-157.80784,170219
600275,21.40266,-157.80761,170220
600275,21.40281,-157.80736,170221
600275,21.40299,-157.80698,170222
600275,21.40326,-157.8064,170223
600275,21.4034,-157.80603,170224
600275,21.40352,-157.80563,170225
600275,21.40356,-157.80549,170226
600275,21.40361,-157.80528,170227
600275,21.40366,-157.80497,170228
600275,21.4037,-157.80464,170229
600275,21.40372,-157.80432,170230
600275,21.40372,-157.804,170231
600275,21.40371,-157.80374,170232
600275,21.40368,-157.80346,170233
