route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_headsign_short,apc_trip_id,display_code,trip_serial_number,block
83,27692,5349000,WAIANAE TRANSIT CENTER,0,309955,4030040,WAIANAE TRNS CTR,47371,4034,30065405,403-636
58,27692,5349001,EXPRESS - Ewa Beach,0,310171,910109,XPRS-EWA BEACH,46998,9102,30067242,54-566
89,27692,5349005,WAIPAHU TRANSIT CENTER,0,310033,4330094,WAIPAHU TRNS CTR,47688,4333,30066262,433-643
83,27692,5349008,WAIANAE TRANSIT CENTER,0,309955,4030040,WAIANAE TRNS CTR,47389,4034,30065410,403-636
58,27692,5349009,EXPRESS - Ewa Beach,0,310615,910108,XPRS-EWA BEACH,41899,9102,30067258,91-193
89,27692,5349013,WAIPAHU TRANSIT CENTER,0,310032,4330097,WAIPAHU TRNS CTR,47664,4333,30066268,433-642
83,27692,5349016,WAIANAE TRANSIT CENTER,0,309955,4030040,WAIANAE TRNS CTR,47377,4034,30065411,403-636
59,27692,5349017,EXPRESS - Makakilo,0,310093,920060,EXPRESS-MAKAKILO,46759,9202,30064960,51-545
51,27692,5349019,EXPRESS - Wahiawa Heights,0,310558,830190,XPRS-WAHIAWA HTS,41854,8304,30067107,83-178
52,27692,5349027,EXPRESS - Mililani,0,310569,840070,EXPRESS-MILILANI,47229,8403,30065020,84-608
83,27692,5349032,WAIANAE TRANSIT CENTER,0,309954,4030040,WAIANAE TRNS CTR,47344,4034,30065414,403-635
60,27692,5349033,EXPRESS - Makaha,0,310650,930114,EXPRESS-MAKAHA,47278,9302,30067351,93-623
102,27692,5349045,HALAWA ALOHA STADIUM STN - Limited Stops,0,309722,1L0149,HALAWA STN - LTD,40216,1A07,30064445,1L-025
58,27692,5349047,EXPRESS - Ewa Beach,0,310616,910108,XPRS-EWA BEACH,41902,9102,30067260,91-194
60,27692,5349051,EXPRESS - Makaha,0,310652,930114,EXPRESS-MAKAHA,47284,9302,30067352,93-625
86,27692,5349052,CAMPBELL INDUSTRIAL PARK,0,309966,4130072,CAMPBELL INDSTRL,47429,4131,30067079,413-637
71,27692,5349057,EXPRESS - Mililani,0,310575,84A0084,EXPRESS-MILILANI,41866,84A3,30065009,84A-182
60,27692,5349059,EXPRESS - Makaha,0,310651,930114,EXPRESS-MAKAHA,47281,9302,30067355,93-624
60,27692,5349063,EXPRESS - Makaha,0,310643,930114,EXPRESS-MAKAHA,41917,9302,30067353,93-199
63,27692,5349067,EXPRESS - Village Park,0,310218,970068,XPRS-VILLAGE PRK,40891,9702,30064927,6-083
